Train_image_path,Train_mask_path
data//images/CL_HandE_1234_B004_bottomright0.tiff,data//masks/CL_HandE_1234_B004_bottomright0.tiff
data//images/CL_HandE_1234_B004_bottomright1.tiff,data//masks/CL_HandE_1234_B004_bottomright1.tiff
data//images/CL_HandE_1234_B004_bottomright2.tiff,data//masks/CL_HandE_1234_B004_bottomright2.tiff
data//images/CL_HandE_1234_B004_bottomright3.tiff,data//masks/CL_HandE_1234_B004_bottomright3.tiff
data//images/CL_HandE_1234_B004_bottomright4.tiff,data//masks/CL_HandE_1234_B004_bottomright4.tiff
data//images/CL_HandE_1234_B004_bottomright5.tiff,data//masks/CL_HandE_1234_B004_bottomright5.tiff
data//images/CL_HandE_1234_B004_bottomright6.tiff,data//masks/CL_HandE_1234_B004_bottomright6.tiff
data//images/CL_HandE_1234_B004_bottomright7.tiff,data//masks/CL_HandE_1234_B004_bottomright7.tiff
data//images/CL_HandE_1234_B004_bottomright8.tiff,data//masks/CL_HandE_1234_B004_bottomright8.tiff
data//images/CL_HandE_1234_B004_bottomright9.tiff,data//masks/CL_HandE_1234_B004_bottomright9.tiff
data//images/CL_HandE_1234_B004_bottomright10.tiff,data//masks/CL_HandE_1234_B004_bottomright10.tiff
data//images/CL_HandE_1234_B004_bottomright11.tiff,data//masks/CL_HandE_1234_B004_bottomright11.tiff
data//images/CL_HandE_1234_B004_bottomright12.tiff,data//masks/CL_HandE_1234_B004_bottomright12.tiff
data//images/CL_HandE_1234_B004_bottomright13.tiff,data//masks/CL_HandE_1234_B004_bottomright13.tiff
data//images/CL_HandE_1234_B004_bottomright14.tiff,data//masks/CL_HandE_1234_B004_bottomright14.tiff
data//images/CL_HandE_1234_B004_bottomright15.tiff,data//masks/CL_HandE_1234_B004_bottomright15.tiff
data//images/CL_HandE_1234_B004_bottomright16.tiff,data//masks/CL_HandE_1234_B004_bottomright16.tiff
data//images/CL_HandE_1234_B004_bottomright17.tiff,data//masks/CL_HandE_1234_B004_bottomright17.tiff
data//images/CL_HandE_1234_B004_bottomright18.tiff,data//masks/CL_HandE_1234_B004_bottomright18.tiff
data//images/CL_HandE_1234_B004_bottomright19.tiff,data//masks/CL_HandE_1234_B004_bottomright19.tiff
data//images/CL_HandE_1234_B004_bottomright20.tiff,data//masks/CL_HandE_1234_B004_bottomright20.tiff
data//images/CL_HandE_1234_B004_bottomright21.tiff,data//masks/CL_HandE_1234_B004_bottomright21.tiff
data//images/CL_HandE_1234_B004_bottomright22.tiff,data//masks/CL_HandE_1234_B004_bottomright22.tiff
data//images/CL_HandE_1234_B004_bottomright23.tiff,data//masks/CL_HandE_1234_B004_bottomright23.tiff
data//images/CL_HandE_1234_B004_bottomright24.tiff,data//masks/CL_HandE_1234_B004_bottomright24.tiff
data//images/CL_HandE_1234_B004_bottomright25.tiff,data//masks/CL_HandE_1234_B004_bottomright25.tiff
data//images/CL_HandE_1234_B004_bottomright26.tiff,data//masks/CL_HandE_1234_B004_bottomright26.tiff
data//images/CL_HandE_1234_B004_bottomright27.tiff,data//masks/CL_HandE_1234_B004_bottomright27.tiff
data//images/CL_HandE_1234_B004_bottomright28.tiff,data//masks/CL_HandE_1234_B004_bottomright28.tiff
data//images/CL_HandE_1234_B004_bottomright29.tiff,data//masks/CL_HandE_1234_B004_bottomright29.tiff
data//images/CL_HandE_1234_B004_bottomright30.tiff,data//masks/CL_HandE_1234_B004_bottomright30.tiff
data//images/CL_HandE_1234_B004_bottomright31.tiff,data//masks/CL_HandE_1234_B004_bottomright31.tiff
data//images/CL_HandE_1234_B004_bottomright32.tiff,data//masks/CL_HandE_1234_B004_bottomright32.tiff
data//images/CL_HandE_1234_B004_bottomright33.tiff,data//masks/CL_HandE_1234_B004_bottomright33.tiff
data//images/CL_HandE_1234_B004_bottomright34.tiff,data//masks/CL_HandE_1234_B004_bottomright34.tiff
data//images/CL_HandE_1234_B004_bottomright35.tiff,data//masks/CL_HandE_1234_B004_bottomright35.tiff
data//images/CL_HandE_1234_B004_bottomright36.tiff,data//masks/CL_HandE_1234_B004_bottomright36.tiff
data//images/CL_HandE_1234_B004_bottomright37.tiff,data//masks/CL_HandE_1234_B004_bottomright37.tiff
data//images/CL_HandE_1234_B004_bottomright38.tiff,data//masks/CL_HandE_1234_B004_bottomright38.tiff
data//images/CL_HandE_1234_B004_bottomright39.tiff,data//masks/CL_HandE_1234_B004_bottomright39.tiff
