Train_image_path,Train_mask_path,class
data//images/CL_HandE_1234_B004_bottomright0.tiff,data//masks/CL_HandE_1234_B004_bottomright0.tiff,0
data//images/CL_HandE_1234_B004_bottomright1.tiff,data//masks/CL_HandE_1234_B004_bottomright1.tiff,0
data//images/CL_HandE_1234_B004_bottomright2.tiff,data//masks/CL_HandE_1234_B004_bottomright2.tiff,0
data//images/CL_HandE_1234_B004_bottomright3.tiff,data//masks/CL_HandE_1234_B004_bottomright3.tiff,0
data//images/CL_HandE_1234_B004_bottomright4.tiff,data//masks/CL_HandE_1234_B004_bottomright4.tiff,0
data//images/CL_HandE_1234_B004_bottomright5.tiff,data//masks/CL_HandE_1234_B004_bottomright5.tiff,0
data//images/CL_HandE_1234_B004_bottomright6.tiff,data//masks/CL_HandE_1234_B004_bottomright6.tiff,0
data//images/CL_HandE_1234_B004_bottomright7.tiff,data//masks/CL_HandE_1234_B004_bottomright7.tiff,0
data//images/CL_HandE_1234_B004_bottomright8.tiff,data//masks/CL_HandE_1234_B004_bottomright8.tiff,0
data//images/CL_HandE_1234_B004_bottomright9.tiff,data//masks/CL_HandE_1234_B004_bottomright9.tiff,0
data//images/CL_HandE_1234_B004_bottomright12.tiff,data//masks/CL_HandE_1234_B004_bottomright12.tiff,1
data//images/CL_HandE_1234_B004_bottomright13.tiff,data//masks/CL_HandE_1234_B004_bottomright13.tiff,1
data//images/CL_HandE_1234_B004_bottomright14.tiff,data//masks/CL_HandE_1234_B004_bottomright14.tiff,1
data//images/CL_HandE_1234_B004_bottomright15.tiff,data//masks/CL_HandE_1234_B004_bottomright15.tiff,1
data//images/CL_HandE_1234_B004_bottomright17.tiff,data//masks/CL_HandE_1234_B004_bottomright17.tiff,0
data//images/CL_HandE_1234_B004_bottomright18.tiff,data//masks/CL_HandE_1234_B004_bottomright18.tiff,0
data//images/CL_HandE_1234_B004_bottomright19.tiff,data//masks/CL_HandE_1234_B004_bottomright19.tiff,0
data//images/CL_HandE_1234_B004_bottomright20.tiff,data//masks/CL_HandE_1234_B004_bottomright20.tiff,0
data//images/CL_HandE_1234_B004_bottomright21.tiff,data//masks/CL_HandE_1234_B004_bottomright21.tiff,0
data//images/CL_HandE_1234_B004_bottomright22.tiff,data//masks/CL_HandE_1234_B004_bottomright22.tiff,0
data//images/CL_HandE_1234_B004_bottomright23.tiff,data//masks/CL_HandE_1234_B004_bottomright23.tiff,0
data//images/CL_HandE_1234_B004_bottomright24.tiff,data//masks/CL_HandE_1234_B004_bottomright24.tiff,0
data//images/CL_HandE_1234_B004_bottomright25.tiff,data//masks/CL_HandE_1234_B004_bottomright25.tiff,0
data//images/CL_HandE_1234_B004_bottomright26.tiff,data//masks/CL_HandE_1234_B004_bottomright26.tiff,0
data//images/CL_HandE_1234_B004_bottomright27.tiff,data//masks/CL_HandE_1234_B004_bottomright27.tiff,0
data//images/CL_HandE_1234_B004_bottomright28.tiff,data//masks/CL_HandE_1234_B004_bottomright28.tiff,0
data//images/CL_HandE_1234_B004_bottomright29.tiff,data//masks/CL_HandE_1234_B004_bottomright29.tiff,1
data//images/CL_HandE_1234_B004_bottomright30.tiff,data//masks/CL_HandE_1234_B004_bottomright30.tiff,1
data//images/CL_HandE_1234_B004_bottomright31.tiff,data//masks/CL_HandE_1234_B004_bottomright31.tiff,1
data//images/CL_HandE_1234_B004_bottomright32.tiff,data//masks/CL_HandE_1234_B004_bottomright32.tiff,1
